LOCATION,brand,date,fuel_type,fuel_price,dedup_hash,upd_dt_utc
ADELAIDE,caltex,2019-08-21,DIESEL,139.1,8a5a5dcadca6156e7c564ae782ec905d,1566368381
ADELAIDE,bp,2019-08-21,DIESEL,133.59,321371b475baa5afe85e3d48c3d8d2d6,1566368381
ADELAIDE,viva,2019-08-22,DIESEL,132.63,0ee779ffe0465e0f802a1ee96476cda3,1566368381
ADELAIDE,puma,2019-08-22,DIESEL,137.84,7e585d09646af01abd8f2c541a7d6a2f,1566368381
ADELAIDE,caltex,2019-08-21,PULP95,144.17,3be5f5c4be93f54c047575d77b2613ea,1566368381
ADELAIDE,bp,2019-08-21,PULP95,135.72,f378ef7eb13afec3310f4267cbaca378,1566368381
ADELAIDE,viva,2019-08-22,PULP95,135.7,d5016f0f9717f858def5e726f87ba0f4,1566368381
ADELAIDE,puma,2019-08-22,PULP95,143.44,67c222288726ee3e9b4057a1881e462c,1566368381
ADELAIDE,caltex,2019-08-21,PULP98,150.74,b5a24fe9a7abe0f730f004aa3816d061,1566368381
ADELAIDE,viva,2019-08-22,PULP98,152.61,59e293d9d9f5f16b39486fa54187659f,1566368381
ADELAIDE,puma,2019-08-22,PULP98,152.1,09e1b9a9dc0b479b8530dbd797ac9337,1566368381
ADELAIDE,caltex,2019-08-21,ULP,133.09,28a8ae6b5157d566b9fb5e931ae938a6,1566368381
ADELAIDE,bp,2019-08-21,ULP,127.72,17b1c74c9956983eafe48401d2665aee,1566368381
ADELAIDE,viva,2019-08-22,ULP,127.88,d5dfbc5b601abbc5680f183b2cdf05df,1566368381
ADELAIDE,puma,2019-08-22,ULP,133.32,57cc92090a54c760ab56d645e1a994b6,1566368381
ADELAIDE,bp,2019-08-22,DIESEL,133.66,4b9365043387ca88def83a5dd71f66af,1566429949
ADELAIDE,viva,2019-08-23,DIESEL,132.75,710310ed8f739c824eab51b1037342f8,1566429949
ADELAIDE,liberty,2019-08-20,DIESEL,136.66,9dfbc34cf4b39bd7f7365c318728eaca,1566429949
ADELAIDE,puma,2019-08-23,DIESEL,137.55,9c1b3a9b66328a36d1343b880dbc6307,1566429949
ADELAIDE,united,2019-08-22,DIESEL,120.57,7bb9cb89da13f195be8bd2ce0f76f822,1566429949
ADELAIDE,bp,2019-08-22,PULP95,135.59,1212224a55bcdac091478ca36cc40d42,1566429949
ADELAIDE,viva,2019-08-23,PULP95,135.58,7c2f02de8415f011181ca61992cf02d0,1566429949
ADELAIDE,liberty,2019-08-20,PULP95,141.55,7a5949c412a8bdee3cc07e4666057521,1566429949
ADELAIDE,puma,2019-08-23,PULP95,143.36,8c08a5b5edf6e9963c63afb762473a3c,1566429949
ADELAIDE,united,2019-08-22,PULP95,123.36,0c6d47100f0821ed1e706bd5ccfc3a97,1566429949
ADELAIDE,viva,2019-08-23,PULP98,152.49,b510db09178aa9e89718b8e4df607003,1566429949
ADELAIDE,puma,2019-08-23,PULP98,152.02,15a61ee431d4b49859f784241bff16e7,1566429949
ADELAIDE,united,2019-08-22,PULP98,138.74,fd9b21fb025e14ff0b1b29557f46e038,1566429949
ADELAIDE,bp,2019-08-22,ULP,127.59,270e7abbdab1ee5f4ed676c7da685bc4,1566429949
ADELAIDE,viva,2019-08-23,ULP,127.8,3fbd876b7abca7533061c433b80c99aa,1566429949
ADELAIDE,liberty,2019-08-20,ULP,133.55,256c6084f4347291a90763e549c5cecf,1566429949
ADELAIDE,puma,2019-08-23,ULP,133.28,1c57fe999ad942e4f7c9e4c9887b236d,1566429949
ADELAIDE,united,2019-08-22,ULP,116.25,07720b713436650da5e5e8fc91560fc3,1566429949
ADELAIDE,united,2019-08-22,E10,117.15,d6e03740d83aa45d79c3050ff1229662,1566429949
ADELAIDE,caltex,2019-08-22,DIESEL,139.23,0d8e631060b49b92a1e1a738ce687146,1566511931
ADELAIDE,bp,2019-08-23,DIESEL,133.36,7879aa1383d6b3e401df4c85ff0d0998,1566511931
ADELAIDE,viva,2019-08-24,DIESEL,132.5,b9a6003f8d8e4f3cdfd1691c52c1f9f4,1566511931
ADELAIDE,puma,2019-08-24,DIESEL,137.58,5f3fbba8e54a7ed93cc5ac029a873c3f,1566511931
ADELAIDE,united,2019-08-23,DIESEL,120.68,974f1060013b8b13a14d8eb9b1b7e810,1566511931
ADELAIDE,caltex,2019-08-22,PULP95,144.06,bac4ee8b1a16611de6a7a57de4ba9773,1566511931
ADELAIDE,bp,2019-08-23,PULP95,135.55,040a745b1019fca6db4d22c575f1c40a,1566511931
ADELAIDE,viva,2019-08-24,PULP95,135.53,b7d82f974a7a41777d202d0c976df2ee,1566511931
ADELAIDE,puma,2019-08-24,PULP95,143.72,2caf443558efab30e79678bf1dadb489,1566511931
ADELAIDE,united,2019-08-23,PULP95,123.25,5802891857f273390313ab34634ecf80,1566511931
ADELAIDE,caltex,2019-08-22,PULP98,150.63,e932ccbd790b5b12c00e1d32c24e956b,1566511931
