DIESEL,LOCATION,PULP95,STATE,ULP,date
136.46,MELBOURNE,140.79,VIC,132.79,2019-08-20
136.88,SYDNEY,141.63,NSW,133.63,2019-08-20
136.19,NEWCASTLE,,NSW,,2019-08-20
136.05,BRISBANE,140.83,QLD,132.83,2019-08-20
136.66,ADELAIDE,141.55,SA,133.55,2019-08-20
142.78,PT. LINCOLN,,SA,132.28,2019-08-20
135.82,PERTH,140.41,WA,132.41,2019-08-20
154.88,BROOME,167.77,WA,159.77,2019-08-20
139.87,ESPERANCE,,WA,138.55,2019-08-20
143.10,HOBART,147.52,TAS,139.52,2019-08-20
141.96,DARWIN,147.02,NT,139.02,2019-08-20
