DIESEL,E10,LOCATION,PULP95,PULP98,ULP,date
123.20,122.20,BRISBANE,134.55,141.27,122.92,2020-03-06
128.39,,CAIRNS,142.76,,129.38,2020-03-06
126.08,,GLADSTONE,135.00,,124.23,2020-03-06
126.22,,MACKAY,138.11,149.38,126.66,2020-03-06
125.29,124.76,TOWNSVILLE,138.35,151.98,125.91,2020-03-06
124.60,120.47,NEWCASTLE,134.63,,123.44,2020-03-06
126.00,122.28,SYDNEY,135.50,147.64,124.53,2020-03-06
124.96,120.65,MELBOURNE,133.27,142.83,122.56,2020-03-06
131.80,,BURNIE,,,131.28,2020-03-06
131.63,,HOBART,,,130.80,2020-03-06
125.04,,ADELAIDE,134.70,143.64,124.28,2020-03-06
125.84,,DARWIN,134.02,180.46,125.73,2020-03-06
137.75,,BROOME,156.67,,149.14,2020-03-06
122.18,,PERTH,131.81,148.30,120.61,2020-03-06
130.10,,PORT HEDLAND,147.43,,137.82,2020-03-06
