DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
138.53,134.19,NEWCASTLE,145.15,151.70,NSW,134.11,2019-08-21
139.15,134.31,SYDNEY,145.38,151.93,NSW,134.35,2019-08-21
141.79,,DARWIN,148.12,,NT,136.71,2019-08-21
139.47,134.28,BRISBANE,145.68,152.25,QLD,134.66,2019-08-21
139.97,136.01,CAIRNS,146.94,,QLD,135.53,2019-08-21
139.89,,GLADSTONE,147.01,,QLD,135.72,2019-08-21
139.51,136.36,MACKAY,,153.28,QLD,135.81,2019-08-21
139.14,,TOWNSVILLE,147.02,154.88,QLD,135.62,2019-08-21
139.23,,ADELAIDE,144.58,151.16,SA,133.48,2019-08-21
140.48,,PORT BONYTHON,,,SA,,2019-08-21
141.84,,BURNIE,147.60,,TAS,136.60,2019-08-21
141.84,,DEVONPORT,147.60,,TAS,136.60,2019-08-21
141.84,,HOBART,147.60,154.04,TAS,136.60,2019-08-21
139.80,,CORIO,146.25,152.76,VIC,134.77,2019-08-21
139.06,,MELBOURNE,145.64,152.15,VIC,134.15,2019-08-21
143.37,,ALBANY,148.85,153.91,WA,136.16,2019-08-21
149.97,,BROOME,167.46,,WA,156.97,2019-08-21
145.92,,ESPERANCE,,,WA,,2019-08-21
136.00,,FREMANTLE,141.66,148.14,WA,130.19,2019-08-21
142.25,,GERALDTON,,,WA,138.78,2019-08-21
139.32,,PORT HEDLAND,,,WA,144.16,2019-08-21
