DIESEL,E10,LOCATION,PULP95,PULP98,ULP,date
109.89,110.58,ADELAIDE TGP,116.70,135.90,109.33,2020-03-06
114.62,116.97,BELL BAY TGP,123.41,130.15,114.35,2020-03-06
109.20,107.90,BRISBANE TGP,116.25,131.59,108.53,2020-03-06
111.99,,CAIRNS TGP,125.72,,111.50,2020-03-06
113.05,,DARWIN TGP,121.60,,113.40,2020-03-06
111.73,,GLADSTONE TGP,120.07,,111.89,2020-03-06
109.59,109.40,HASTINGS TGP,121.56,131.31,108.62,2020-03-06
111.87,112.43,MACKAY TGP,120.68,,112.58,2020-03-06
108.63,,PERTH TGP,115.99,131.01,107.89,2020-03-06
110.32,109.98,SYDNEY TGP,115.77,131.43,109.54,2020-03-06
112.31,113.13,TOWNSVILLE TGP,121.69,,113.28,2020-03-06
109.59,109.40,YARRAVILLE TGP,,131.31,108.62,2020-03-06
