DIESEL,E10,LOCATION,PULP95,PULP98,STATE,ULP,date
122.89,121.24,SILVERWATER,130.55,,NSW,121.74,2020-03-06
122.89,121.24,SYDNEY,130.55,139.47,NSW,121.74,2020-03-06
123.12,121.85,NEWCASTLE,132.14,,NSW,122.34,2020-03-06
122.34,121.89,MELBOURNE,130.58,138.85,VIC,121.29,2020-03-06
123.00,,BIRKENHEAD,130.77,139.40,SA,121.52,2020-03-06
,,PORT LINCOLN,,,SA,,2020-03-06
122.86,120.26,WHINSTANES,130.76,140.75,QLD,121.31,2020-03-06
125.35,,GLADSTONE,134.59,,QLD,125.09,2020-03-06
126.14,125.29,MACKAY,134.31,,QLD,126.34,2020-03-06
125.82,,TOWNSVILLE,,142.81,QLD,126.18,2020-03-06
125.71,124.06,CAIRNS,136.86,,QLD,125.10,2020-03-06
124.37,,PERTH,128.08,135.58,WA,122.66,2020-03-06
,,HOBART,,,TAS,,2020-03-06
,,BURNIE,,,TAS,,2020-03-06
126.31,,DARWIN,135.28,,NT,125.73,2020-03-06
